# Time-averaged data for fix Ave
# TimeStep v_HAg v_HTe
4580 0.0111575 -4.59612
4590 0.0111847 -4.59396
4600 0.0114657 -4.59296
4610 0.0118483 -4.59326
4620 0.0123021 -4.59401
4630 0.0128148 -4.59429
4640 0.0133655 -4.59352
4650 0.0140018 -4.59179
4660 0.0147598 -4.5898
4670 0.0155714 -4.58829
4680 0.0163381 -4.58749
4690 0.0170225 -4.58678
4700 0.0175728 -4.58556
4710 0.0178797 -4.58342
4720 0.0178812 -4.58085
4730 0.0176845 -4.57817
4740 0.0174126 -4.5766
4750 0.0170459 -4.57622
4760 0.016567 -4.57687
4770 0.0161219 -4.57783
4780 0.0159286 -4.57889
4790 0.0161121 -4.58034
4800 0.0167089 -4.58275
4810 0.0176049 -4.58593
4820 0.0185412 -4.59014
4830 0.0192636 -4.59476
4840 0.0196303 -4.59867
4850 0.019634 -4.60057
4860 0.0194146 -4.60061
4870 0.0191148 -4.59999
4880 0.0187878 -4.60017
4890 0.0184512 -4.60145
4900 0.0181495 -4.6018
4910 0.0179563 -4.60009
4920 0.0179134 -4.59581
4930 0.0180076 -4.58986
4940 0.0181566 -4.58437
4950 0.0181946 -4.58099
4960 0.0179778 -4.58079
4970 0.0175302 -4.58294
4980 0.0170471 -4.5857
4990 0.0166832 -4.58733
5000 0.0165343 -4.58716
5010 0.0166581 -4.58496
5020 0.0170142 -4.58078
5030 0.0174218 -4.57535
5040 0.0176585 -4.57026
5050 0.0175535 -4.56673
5060 0.0168883 -4.56637
5070 0.0154301 -4.56938
5080 0.0132629 -4.5748
5090 0.0110083 -4.57996
5100 0.00948102 -4.58252
5110 0.00919707 -4.58163
5120 0.0101559 -4.57826
5130 0.0119447 -4.57426
5140 0.0139817 -4.57153
5150 0.0157404 -4.5708
5160 0.0169233 -4.57196
5170 0.0174988 -4.57432
5180 0.0175929 -4.577
5190 0.0172908 -4.58029
5200 0.0165916 -4.58439
5210 0.0156211 -4.58971
5220 0.0147219 -4.59429
5230 0.0142639 -4.59591
5240 0.0143874 -4.59304
5250 0.0149167 -4.58618
5260 0.0154842 -4.5779
5270 0.0157908 -4.57062
5280 0.0157273 -4.56685
5290 0.0152883 -4.56722
5300 0.0145201 -4.57086
