# Time-averaged data for fix 2
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6] c_Ag_mom[1] c_Ag_mom[2] c_Ag_mom[3]
1480 143.941 -110.315 -15.1416 76.2184 -82.6448 6.43256 2289.08 -2548.15 -66.0095
1490 125.035 -75.2992 -33.3994 55.4112 -53.4035 -10.2247 1686.98 -1583.94 -527.437
1500 100.301 -40.8719 -52.9198 30.3557 -19.0017 -27.6154 936.753 -484.643 -1001.35
1510 68.5166 -2.93326 -71.6698 4.76776 19.1791 -45.7499 133.608 717.817 -1495
1520 28.4537 40.0009 -90.2171 -18.8781 59.1154 -64.0896 -653.792 1973.57 -2012.64
1530 -18.4723 84.7104 -110.228 -41.0058 99.2751 -82.3776 -1423.25 3227.38 -2559.63
1540 -65.3255 126.169 -129.573 -64.6776 137.986 -100.1 -2235.68 4425.45 -3127.43
1550 -106.61 163.236 -142.299 -93.2066 173.918 -116.465 -3170.52 5520.03 -3671.93
1560 -145.042 196.927 -142.365 -127.916 205.454 -129.666 -4278 6465.98 -4106.72
1570 -187.263 227.316 -128.709 -167.681 230.37 -136.558 -5556.55 7203.89 -4316.19
1580 -238.219 251.675 -105.966 -210.64 246.094 -133.826 -6955.25 7670.67 -4199.68
1590 -295.487 266.739 -79.4747 -254.496 252.208 -120.122 -8388.78 7856.32 -3733.55
1600 -350.898 272.061 -52.2857 -296.148 250.999 -97.1118 -9751.14 7827.37 -2988.13
1610 -396.154 270.428 -22.7823 -332.12 245.622 -68.7196 -10932.2 7674.32 -2088.39
1620 -424.166 266.786 12.7208 -358.858 237.606 -39.5458 -11825.4 7448.82 -1168.29
1630 -430.981 265.199 55.8989 -373.183 227.073 -13.4173 -12319.3 7162.75 -338.297
1640 -414.803 264.202 102.327 -372.412 214.365 7.56857 -12310.8 6822.07 340.944
1650 -378.173 257.028 143.957 -355.461 200.512 23.7278 -11747.3 6434.15 873.503
1660 -325.035 238.466 174.382 -322.73 186.571 37.2289 -10651.1 6005.42 1324.81
1670 -261.06 209.355 194.59 -275.839 173.196 51.3332 -9101.78 5553.58 1796.53
1680 -191.208 176.582 211.335 -217.141 160.522 68.741 -7206.48 5112.15 2371.24
1690 -120.484 146.899 228.18 -150.588 148.684 89.6741 -5090.84 4711.55 3048.57
1700 -51.0495 122.492 242.785 -81.3025 137.346 111.177 -2901.97 4357.28 3728.93
1710 13.7206 102.294 250.125 -15.0254 125.63 128.382 -791.252 4016.4 4263.17
1720 73.677 83.7363 247.952 44.2093 112 137.226 1129.78 3617.6 4530.4
1730 128.794 63.6219 236.106 95.4601 94.9019 136.194 2830.93 3087.3 4475.73
1740 179.14 39.1348 213.715 140.945 74.2429 125.117 4363.2 2406.53 4078.8
1750 225.156 9.6374 180.528 183.972 51.4849 104.15 5813.48 1625.22 3343.25
1760 268.471 -21.937 138.721 226.687 28.9 74.0181 7249.89 831.582 2322.74
1770 313.601 -50.1352 92.7811 269.459 8.33099 36.736 8687.87 110.39 1114.35
1780 364.398 -70.6262 45.1234 311.142 -9.48852 -4.84878 10082.1 -492.668 -184.99
1790 417.58 -84.1845 -5.14376 349.557 -24.4393 -48.035 11350.2 -974.542 -1520
1800 466.418 -93.8927 -60.0636 382.98 -36.3233 -91.6256 12415.8 -1339.14 -2882.77
1810 501.594 -99.2308 -117.907 409.716 -44.3439 -135.754 13220.1 -1569.13 -4286.9
1820 516.986 -97.1099 -173.264 427.168 -47.8286 -181.126 13698.1 -1640.45 -5735.65
1830 511.758 -87.6849 -221.518 432.02 -46.5183 -227.556 13779.1 -1548.75 -7200.93
